"ID","POS","term","category","appliesTo","definition","category2","dataSource"
"1296","A","hexa_","prefix",,"Indicating presence of or constitution by six entities of the type denoted by the term's stem; as in  hexandrous, hexacarpellate, hexacolporate.","prefix",
"1297","N","hilum","FEATURE",,"The scar left on a seed at the point of its abscission from the funiculus.","FEATURE",
"1298","N","hila","FEATURE",,"The scar left on a seed at the point of its abscission from the funiculus.","FEATURE",
"1299","N","hilum","FEATURE",,"The more or less central point within a starch grain of intracellular origin, about which the successive layers of starch were accreted more or less symmetrically.","FEATURE",
"1300","N","hila","FEATURE",,"The more or less central point within a starch grain of intracellular origin, about which the successive layers of starch were accreted more or less symmetrically.","FEATURE",
"1301","N","hip","structure","fruit","Aggregate and consisting of several to many achenes enveloped by a free, urceolate, more or less fleshy, accessory structure derived from floral tube tissue; esp. in Rosa (Rosaceae).","nominative",
"1302","A","hippocrepiform","shape",,"Relatively slender and strongly compressed, the whole strongly curved over its length in a plane perpendicular to the direction of compression and forming an incomplete circle, the ends somewhat straighter than the rest and parallel or nearly so; like a h","shape",
"1303","A","hirsute","pubescence",,"Bearing coarse, rough, elongate, more or less erect, capillate trichomes.  See also hirtellous.","pubescence",
"1304","A","hirtellous","pubescence",,"Finely hirsute.","pubescence",
"1305","A","hispid","pubescence",,"Bearing relatively long and slender, more or less straight, terete, fine-pointed, stiff trichomes.  See also hispidulous (setulose, small-bristly).","pubescence",
"1306","A","hispidulous","pubescence",,"Finely hispid (setose).","pubescence",
"1307","A","hoary","pubescence",,"Densely covered with gray, fine, relatively short, capillate trichomes.","pubescence",
"1308","A","hollow","architecture","axis","Having pith tissue absent or disintegrating prior to axial maturity, resulting in an uninterrupted cavity running the length of the axis.  Semantically, this term and its synonym refer to the axis, not to the pith itself, although the latter application h","architecture",
"1309","A","homochlamydeous","architecture","flower","Having a perianth undifferentiated into distinct proximal and distal envelopes (calyx and corolla); composed of tepals, all essentially alike.","architecture",
"1310","A","homocladic","architecture","taxon, plant","Having stems that do not differ distinctly in size, shape and/or constitution.","architecture",
"1311","A","homogamous","maturation","bisexual flower","Having the androecium and gynoecium become functionally mature concurrently.","maturation","q"
"1312","A","homogamous","reproduction","plant, inflorescence","Having flowers that do not differ in sexual constitution.","maturation","q"
"1313","A","homomorphic","architecture",,"Occurring in only one form within the taxon in point.","architecture",
"1314","A","homophyllous","architecture","taxon, plant","Having leaves that do not differ distinctly in size and/or shape.","architecture",
"1315","A","homosporous","reproduction","taxon","Producing only one type of spore, each spore giving rise to a gametophyte that bears gametangia of both sexual types.","reproduction",
"1316","A","homostylous","architecture","taxon, plant, flower","Having styles that do not differ distinctly in size and/or shape.","architecture",
"1317","A","honeycombed","relief",,"Having generally uniform, regularly and closely disposed, transversely polygonal depressions overall, the pattern resembling the external aspect of a honeycomb.","relief",
"1318","N","hood","structure",,"A hood-shaped structure or component, esp. in an inflorescence or flower.","STRUCTURE",
"1319","A","hood-shaped","shape",,"Convex or compressed-convex overall with a distal peak or ridge, relatively thin-walled and essentially hollow with the interior open to one side below the distal portion; resembling a hood or cowl.  See also helmet-shaped (galeate, galeiform), which over","shape",
"1320","A","hooded","architecture",,"Bearing, incorporating, or surmounted by a hood-shaped structure.","architecture",
"1321","A","hook-shaped","shape",,"Very slenderly elongate with a more or less straight proximal portion and a recurved terminal portion, the whole resembling a hook.","shape",
"1322","A","hooked","shape",,"Having a recurved terminal portion that resembles a hook.","shape",
"1323","A","horizontal","orientation",,"Parallel to the horizon, perpendicular to the force of gravity.","orientation",
"1324","N","horn","structure",,"A straight or curved, slenderly conic or conoidal protrusion or terminal portion that resembles an animal horn.","STRUCTURE",
"1325","A","horn-shaped","shape",,"Straight or curved and slenderly conic or conoidal, like an animal horn.","shape",
"1326","A","horned","shape",,"Bearing one or more horns (cornicula).","shape",
"1327","A","horny","texture",,"Hard, dense, fine-grained or compactly fibrous, and tough; resembling the substance of animal horn.","texture",
"1328","A","horseshoe-shaped","shape",,"Relatively slender and strongly compressed, the whole strongly curved over its length in a plane perpendicular to the direction of compression and forming an incomplete circle, the ends somewhat straighter than the rest and parallel or nearly so; like a h","shape",
"1329","N","husk","structure",,"A more or less dry, hard or fibrous, simple or compound enclosure or outer layer of a seed, fruit or inflorescence.","STRUCTURE",
"1330","A","hyaline","coloration",,"Transmitting light uniformly.","coloration",
"1331","N","hydathode","structure",,"A multicellular, anatomically distinctive structure located within a leaf at its periphery, its cells surrounding a central canal that opens to the exterior, through which water is actively discharged under humid conditions that impede the rate of transpi","STRUCTURE",
"1332","A","hydrocyanic","odor",,"Pungently fruity like almonds, due to the presence of hydrocyanin or a closely related compound.","odor",
"1333","A","hygroscopic","architecture","structure","Increasing or decreasing in size according to the presence or absence of surrounding moisture, due to differential swelling or shrinking of component anatomical structures.","architecture",
"1334","N","hypanthium","structure",,"A complex structure comprising fused portions of the perianth and/or androecium of a flower, sometimes also including receptacular tissue; surrounding and wholly, partly, or not at all adnate to the gynoecium; subdivided morphologically into casing, colla","STRUCTURE",
"1335","N","hypanthia","structure",,"A complex structure comprising fused portions of the perianth and/or androecium of a flower, sometimes also including receptacular tissue; surrounding and wholly, partly, or not at all adnate to the gynoecium; subdivided morphologically into casing, colla","STRUCTURE",
"1338","A","hyphodromous","venation",,"Having one median, primary vein and no other venation externally evident.","venation",
"1339","N","hypochilium","structure",,"The proximal portion of a labellum (lip) that has distinct proximal, distal, and sometimes also central parts; in Orchidaceae.  See also epichilium, mesochilium.","STRUCTURE",
"1340","N","hypocotyl","structure",,"That portion of an embryo axis between the level of cotyledon insertion above and the root meristem (or radicle, if present) below.","STRUCTURE",
"1341","A","hypocrateriform","shape","perianth, calyx, corolla","Having a relatively long, slender tube and a divaricate, planate limb resembling a round platter.","shape",
"1342","A","hypogeal","location",,"Within the ground, beneath its surface; esp. of cotyledons following seed germination.","location",
"1343","A","hypogeous","location",,"Within the ground, beneath its surface; esp. of cotyledons following seed germination.","location",
"1344","N","hypogynium","structure",,"The basal portion of an ovary when constricted and stalk-like above the level of perianth insertion, bearing the main body of the pistil at its summit; in Cyperaceae.","STRUCTURE",
"1345","N","hypogynia","structure",,"The basal portion of an ovary when constricted and stalk-like above the level of perianth insertion, bearing the main body of the pistil at its summit; in Cyperaceae.","STRUCTURE",
"1346","A","hypogynous","insertion","perianth, calyx, corolla, androecium","Entirely free from the gynoecium or any floral cup, arising from a level proximal or lateral to the base of the gynoecium.  See also epigynous, perigynous.","insertion",
"1347","A","hyponastic","development","laminar structure","Having the abaxial surface differentiating and growing faster than the adaxial surface, thus, until maturity, development of the former more advanced than the latter at any given time and the structure as a whole involute or incurved.","development",
"1348","A","hypostomic","architecture","foliaceous structure","Having stomata on only the abaxial surface.","architecture",
"1349","A","hypostomatic","architecture","foliaceous structure","Having stomata on only the abaxial surface.","architecture",
"1350","A","hypostomatous","architecture","foliaceous structure","Having stomata on only the abaxial surface.","architecture",
"1351","A","hysteranthous","maturation","non-floral structure, esp. leaf","Maturing later than the flowers.","maturation",
"1352","A","hysterophyllous","maturation","non-foliar structure, esp. flower","Maturing later than the leaves.","maturation",
"1353","A","idiogamous","reproduction","taxon","Having fertilization regularly involving gametes derived from the same plant.","reproduction",
"1354","A","imbricate","aestivation",,"Having members whorled or spirally inserted and overlapping one another, each overlapping or overlapped to either side, and also above or below if spirally arranged or in multiple whorls.","aestivation",
"1355","A","imbricated","aestivation",,"Having members whorled or spirally inserted and overlapping one another, each overlapping or overlapped to either side, and also above or below if spirally arranged or in multiple whorls.","aestivation",
"1356","A","imbricate","arrangement","planate structures","Overlapping one another laterally and/or longitudinally.","aestivation",
"1357","A","imbricated","arrangement","planate structures","Overlapping one another laterally and/or longitudinally.","aestivation",
"1358","A","immersed","prominence",,"Deeply sunken.","prominence",
"1359","A","imparipinnate","architecture","foliaceous structure","Compound with each order pinnate and comprising an uneven number of members, one of them terminal.","architecture",
"1360","A","imperfect","architecture","flower","Having either stamens or pistils absent or non-functional, thus unisexual.","architecture",
"1361","A","impressed","prominence",,"Shallowly sunken.","prominence",
"1362","A","inaperturate","architecture","pollen grain","Lacking an aperture of any type.","architecture",
"1363","A","incised","shape","margin","Having straight to irregular lines of separation extending inward from the margin.  See also cleft (dissected, divided, lobate, lobed, parted, partite, segmented).","shape",
"1363","A","incised","shape","apex","Having straight to irregular lines of separation extending inward from the margin.  See also cleft (dissected, divided, lobate, lobed, parted, partite, segmented).","shape",
"1364","A","inclinate","orientation",,"Bent or curved downward or forward.","orientation",
"1365","A","inclined","orientation",,"Directed downward or backward.","orientation",
"1366","A","included","position","anther, style","Not protruding beyond the floral envelope.  See also exsert(ed).","position",
"1367","A","inconspicuous","manifestation",,"Not prominently evident.","manifestation",
"1368","A","incumbent","arrangement","cotyledons","Adaxially contiguous and together oppositely parallel to the hypocotyl and radicle, the abaxial surface of one lying against them.","arrangement","q"
"1369","A","incumbent","orientation","anther","Oppositely parallel to the filament on the adaxial side of the latter.","arrangement","q"
"1370","A","incurved","orientation",,"Curving adaxially.  See also decurved.","orientation",
"1371","A","indehiscent","dehiscence",,"Not splitting or forming an aperture at maturity, the contents being released for dispersal only after decay, digestion, or erosion of the structure.","dehiscence",
"1372","A","indeterminate","development",,"Having the lateral (peripheral, basal, or proximal) portions differentiating first and the terminal (central, apical, or distal) portion later, development thus proceeding sequentially upward or inward.","development",
"1373","N","indument","pubescence",,"See indumentum.","STRUCTURE / SUBSTANCE",
"1374","N","indumentum","pubescence",,"The trichomes and/or exuded substance that overlie a surface proper, regarded collectively.  See also coating, pubescence.","STRUCTURE / SUBSTANCE",
"1375","N","indumenta","pubescence",,"The trichomes and/or exuded substance that overlie a surface proper, regarded collectively.  See also coating, pubescence.","STRUCTURE / SUBSTANCE",
"1377","A","induplicate","aestivation",,"Basically valvate but with each member involute, the lateral abaxial surfaces of adjacent members contiguous.","aestivation",
"1378","A","indurate","texture",,"Yielding only under strong pressure; not deformable without internal structural disruption.  See also callose (callous), corticate (hard-coated), sclerocaulous (hard-stemmed).","texture",
"1379","A","indurated","texture",,"Yielding only under strong pressure; not deformable without internal structural disruption.  See also callose (callous), corticate (hard-coated), sclerocaulous (hard-stemmed).","texture",
"1380","A","indusiate","architecture","sorus","Having an indusium.","architecture",
"1381","N","indusium","structure",,"A protective membrane that is an outgrowth from the epidermis and covers a sorus during its maturation; in Polypodiophyta.","STRUCTURE",
"1382","N","indusia","structure",,"A protective membrane that is an outgrowth from the epidermis and covers a sorus during its maturation; in Polypodiophyta.","STRUCTURE",
"#","A","inferior","insertion","indusium","Inserted at the base of the sorus.","position","q"
"1384","A","inferior","position","ovary","Wholly enclosed by a floral tube casing, the distal portions of the perianth and/or androecium thus arising from its apex.","position","q"
"1385","A","inflated","shape",,"Relatively thin-walled with an essentially empty interior largely enclosed by the walls, which are convex overall and appear taut, as though from internal pressure.  See also swollen (turgid, tumid), which is not clearly distinct in its application.","shape",
"1386","A","inflexed","orientation",,"Bent adaxially at some point along its length.","orientation",
"#","A","inflorescence","architecture",,"Mode or progressive pattern of bearing flowers; most appropriately described using adjectival terms.","architecture",
"1388","N","inflorescence","structure",,"The basic architectural unit of the flower-producing portion of a plant; comprising one or more flowers, their associated supporting axes (peduncles, main axes, branches and pedicels), if any, and the appendages thereto (bracts, bractlets or bracteoles or","STRUCTURE",
"#","A","infrabracteal","insertion",,"Upon the axis directly below a bract insertion.","position","q"
"1390","A","infrabracteal","position",,"Upon the axis directly below a bract insertion.","position","q"
"#","A","infrafoliar","insertion",,"Upon the stem directly below a leaf insertion.","position","q"
"1392","A","infrafoliar","position",,"Upon the stem directly below a leaf insertion.","position","q"
"#","A","inframedial","insertion",,"Slightly below the middle of the structure in point.","position","q"
"1394","A","inframedial","position",,"Slightly below the middle of the structure in point.","position","q"
"#","A","infrapetiolar","insertion","bud","Axillary and surrounded by the petiole base at maturity.","position","q"
"1396","A","infrapetiolar","position","bud","Axillary and surrounded by the petiole base at maturity.","position","q"
"1397","N","infructescence","structure",,"A mature (fruiting) inflorescence (static sense).","STRUCTURE",
"#","N","infructescence","structure",,"A compound fruit derived from the connate or coherent ovaries and accessory tissue(s), if any, of two or more adjacent flowers.","STRUCTURE",
"1399","A","infundibular","shape","perianth, calyx, corolla","Having a narrowly obconic tube and a spreading limb, the transition between them smooth.","shape",
"1400","A","insect-pollinated","reproduction","plant, strobilus, flower","Having the pollen normally transported between strobili or flowers by insects.","reproduction",
"1401","A","insectivorous","nutrition","plant, structure","Capturing insects, digesting their tissues by means of exoenzymes secreted by specialized cells or tissues, and assimilating the digested substances as nourishment, especially for nitrogen.","nutrition",
"1402","N","insertion","CHARACTER",,"Mode or locus of attachment of a structure to some dissimilar bearing structure.  The lexicons relating to insertion and position overlap to a great degree, since these two morphological concepts are often inseparable in practice.  Also overlaps conceptua","CHARACTER",
"1403","N","integument","structure",,"A distinct layer of tissue that encloses and serves to protect the other tissues of an organ, especially a seed.","STRUCTURE",
"1404","A","integumentary","derivation","aril","Produced from or a modification of one or both seed integuments.","derivation",
"#","A","intercostal","insertion",,"Between the costae.","position","q"
"1406","A","intercostal","position",,"Between the costae.","position","q"
"#","A","internodal","insertion",,"Upon or otherwise directly associated with the internodes.","position","q"
"1408","A","internodal","position",,"Upon or otherwise directly associated with the internodes.","position","q"
"1409","N","internode","structure",,"Any portion of a stem between two successive nodes.","STRUCTURE",
"#","A","interpetiolar","insertion",,"Upon the stem between the bases of opposite leaves.","position","q"
"1411","A","interpetiolar","position",,"Upon the stem between the bases of opposite leaves.","position","q"
"1412","A","interrupted","architecture","foliaceous structure","Compound with the leaflets alternately large and small.","architecture",
"1413","A","interrupted","architecture","inflorescence","Having one or more gaps in an otherwise uniform distribution of flowers or branch units along the main axis.","architecture",
"#","A","intravaginal","insertion",,"Within the leaf sheath.","position","q"
"1415","A","intravaginal","position",,"Within the leaf sheath.","position","q"
"1416","A","intricate","arrangement",,"Entangled; irregularly intertwined and not readily disentangled.","arrangement",
"1417","A","introrse","dehiscence","anther","Opening inwardly, on the adaxial side.  See also extrorse, latrorse.","dehiscence",
"1418","A","intruded","placentation",,"Upon partial septa excrescent from the wall of a compound, unilocular ovary.","placentation",
"1419","N","involucel","structure",,"One or more closely proximate whorls of bractlets (bracteoles, prophylls) immediately subtending (below or outside) a subordinate portion of an inflorescence that is subtended as a whole by an involucre, the bractlets often leaf-like, sometimes petaloid.","STRUCTURE",
"1420","A","involucral","derivation","aril","Produced from or a modification of a persistent involucre investing the seed.","derivation",
"1421","N","involucral_bract","structure",,"One of the bracts composing the involucre of a capitulum (head,); in Asteraceae (Compositae).","STRUCTURE",
"1422","A","involucrate","architecture","inflorescence","Subtended by an involucre.","architecture",
"1424","N","involucre","structure",,"One or more closely proximate whorls, or a compact spiral, of bracts immediately subtending an inflorescence, the bracts sometimes leaf-like, sometimes petaloid.","STRUCTURE",
"1426","A","involute","shape",,"Rolled adaxially.","shape",
"1427","A","involute","vernation",,"Each rolled adaxially from the lateral margins.","vernation",
"1428","A","iridescent","coloration",,"Reflecting a pattern colors from throughout the visible spectrum, the pattern changing with the angle of view.","coloration",
"1429","A","irregular","architecture","perianth, calyx, corolla","Imperfectly actinomorphic, the constituents disposed symmetrically but unequal in size and/or shape.  See also peloric.","architecture","q"
"1430","A","irregular","course",,"Deviating asymmetrically from a straight line.","architecture","q"
"1430","A","irregular","shape",,"Deviating asymmetrically from a straight line.","architecture","q"
"1431","A","isodiametric","architecture",,"Of approximately constant breadth in all median planes.","architecture",
"1432","A","isopetalous","architecture","flower, perianth, corolla","Having the petals essentially alike in size and shape.","architecture",
"1433","A","isopolar","architecture","pollen grain, spore","Having evident polarity, the proximal and distal halves similar.","architecture",
"1434","A","isosepalous","architecture","flower, perianth, calyx","Having the sepals essentially alike in size and shape.","architecture",
"1435","A","isostemonous","architecture","flower, androecium","Having the stamens essentially alike in size and shape.","architecture",
"1436","N","isthmus","structure",,"A narrower portion connecting two wider or broader portions of an inclusive structure.","STRUCTURE",
"1437","N","jacket_cell","structure",,"Any of the cells forming the portion of an antheridial wall between the basal cells and the cap cell(s).","STRUCTURE",
"1438","N","joint","structure",,"A distinct, relatively narrow zone of demarcation between adjacent main portions of an elongate structure, often thicker than the rest of the structure and sometimes a site of eventual abscission.","STRUCTURE",
"1439","A","jointed","architecture",,"Elongate with one or more distinct, relatively narrow zones of demarcation between adjacent main portions of the whole, these joints (articulations) often thicker and sometimes sites of eventual abscission.","architecture",
"1439","A","_jugate","architecture",,"foliaceous structure","Compound with n orders of leaflets, each order bifoliolate.","architecture",
"1440","N","keel","structure",,"An elongate, median longitudinal ridge that is basically triangular in transverse section and resembles the keel of a boat; esp. in leaf blades and sheaths, glumes, lemmata, paleae, sepals, petals.","STRUCTURE",
"1441","N","keel","structure",,"Collectively, the two relatively small, connate or coherent, abaxial (lower) petals that form the keel-like portion of a papilionaceous corolla.","STRUCTURE",
"1442","A","keel-shaped","shape",,"Elongate, basically triangular in transverse section, tapering at one or both ends, the outer edge thus somewhat arcuate, the whole resembling the keel of a boat.","shape",
"1443","A","keeled","shape",,"Having an elongate median longitudinal ridge that is basically triangular in transverse section, resembling the keel of a boat; esp. a leaf blade or sheath, glume, lemma, palea, sepal or petal.","shape",
"1445","A","kidney-shaped","shape",,"Thickly elongate and arcuate, circular or compressed-circular in transverse section, each end bluntly rounded; like the generalized shape of a human kidney.","shape",
"1446","N","knee","structure",,"An abrupt bend in an axial or other elongate structure.","STRUCTURE",
"1447","N","knee","structure",,"An emergent portion of an otherwise normally submerged secondary root of a wetland tree, resembling a bent human knee.","STRUCTURE",
"1448","N","knee_root","structure",,"A specialized secondary root of a wetland tree, a portion of which projects above mean water level and appears to bend as a leg does at the knee, its distalmost portion being anchored in the substrate beneath the water.  The knee of the root is commonly r","STRUCTURE",
"1449","A","knee-rooted","architecture","plant","Having knee roots.","architecture",
"1450","A","kneecap-shaped","shape",,"Thickly meniscoid, like a human kneecap.","shape",
"1451","A","kneed","shape",,"Elongate, abruptly bent, somewhat thicker at the angle, and appearing as though articulate like a leg at the knee.","shape",
"1452","A","knob-shaped","shape",,"Approximately globose, the surface convoluted or not, like a knob or knot; usually applied only to structures or components that are relatively small.","shape",
"1453","A","knobby","shape",,"Having knob-shaped (gongylodate, gongyloid, knot-shaped, nodiform) protrusions.  See also nodulose.","shape",
"1454","A","knot-shaped","shape",,"Approximately globose, the surface convoluted or not, like a knob or knot; usually applied only to structures or components that are relatively small.","shape",
"1455","A","knotted","shape",,"Elongate and irregularly round in transverse section with narrow irregular constrictions and intervening, closely proximate gongyloid sectors, the whole straight or variously curved; serially gongyloid; like a sequentially knotted rope.","shape",
"1456","A","knotty","shape",,"Having knot-shaped (gongylodate, gongyloid, knob-shaped, nodiform) protrusions.  See also nodulose.","shape",
"1457","N","labellum","structure",,"The third petal of a tripetalous flower when distinctively different from the other two, usually enlarged relative to them and/or differently shaped or colored, usually apparently the abaxial (lower) petal of the three due to resupination during ontogenes","STRUCTURE",
"1458","N","labella","structure",,"The third petal of a tripetalous flower when distinctively different from the other two, usually enlarged relative to them and/or differently shaped or colored, usually apparently the abaxial (lower) petal of the three due to resupination during ontogenes","STRUCTURE",
"1459","A","labiate","architecture","perianth, calyx, corolla","Strongly zygomorphic with connate and/or coherent members some or all of whose distal portions form one or two lip-like structures.","architecture",
"1460","N","labium","structure",,"Any substructure that resembles a lip, especially a portion of a perianth, calyx or corolla; in Lamiaceae (Labiatae) sometimes restricted to the abaxial (lower) of the two corolla lips.","STRUCTURE",
"1461","N","labia","structure",,"Any substructure that resembles a lip, especially a portion of a perianth, calyx or corolla; in Lamiaceae (Labiatae) sometimes restricted to the abaxial (lower) of the two corolla lips.","STRUCTURE",
"1462","A","lacerate","shape","margin","Having straight to irregular lines of separation extending inward from the margin.  See also cleft (dissected, divided, lobate, lobed, parted, partite, segmented).","shape",
"1463","A","laciniate","shape","margin","Having relatively close, more or less straight lines of separation exending inward from the margin.  See also cleft (dissected, divided, lobate, lobed, parted, partite, segmented).","shape",
"1464","A","lacrimate","shape",,"Like the stylized lateral outline of a teardrop; broadest just below the middle, broadly rounded to the base, and acutely attenuate to the apex; like the stylized lateral outline of a teardrop.","shape",
"1465","A","lacrimiform","shape",,"Transversely round and broadest just below the middle, broadly rounded to the base and acutely attenuate to the apex.","shape",
"1466","N","lacuna","FEATURE",,"A hole or cavity; an empty space surrounded by tissue in two or three dimensions.","FEATURE",
"1467","N","lacunae","FEATURE",,"A hole or cavity; an empty space surrounded by tissue in two or three dimensions.","FEATURE",
"1468","A","lacunate","relief",,"Having relatively large and deep depressions overall.","relief",
"1469","A","ladder-like","arrangement",,"Disposed in vertical sequence with long axes horizontal and parallel.","arrangement",
"1470","N","laesura","FEATURE",,"An elongate aperture in the proximal face of a spore at or near its pole, coterminous with a tetrad scar; in Psilotophyta, Lycopodiophyta, Equisetophyta, Polypodiophyta.  Depending upon tetrad configuration and resultant scar pattern, a laesura may be eit","FEATURE",
"1471","N","laesurae","FEATURE",,"An elongate aperture in the proximal face of a spore at or near its pole, coterminous with a tetrad scar; in Psilotophyta, Lycopodiophyta, Equisetophyta, Polypodiophyta.  Depending upon tetrad configuration and resultant scar pattern, a laesura may be eit","FEATURE",
"1472","A","laevigate","relief",,"Very smooth.","relief","q"
"1473","A","laevigate","reflectance",,"Uniformly reflecting a high proportion of incident light at all angles.","relief","q"
"1474","A","lageniform","shape",,"Generally circular in cross-section, broadest at or below the middle, approximately globose below that and constricted above to a relatively narrow neck; like a flask.","shape",
"1475","N","lamella","structure",,"A thin layer of tissue that forms a plate within tissue of lesser density or between areas of empty space.","STRUCTURE",
"1476","N","lamellae","structure",,"A thin layer of tissue that forms a plate within tissue of lesser density or between areas of empty space.","STRUCTURE",
"1477","A","lamellate","shape","laminar structure","Having two small terminal plates of tissue closely parallel to one another and perpendicular to the plane of the lamina.","shape",
"1478","N","lamina","structure",,"The expanded, more or less planate, distal portion, when present, of a leaf, leaflet or bract.","STRUCTURE",
"1479","N","laminae","structure",,"The expanded, more or less planate, distal portion, when present, of a leaf, leaflet or bract.","STRUCTURE",
"#","N","lamina","structure",,"The distal, relatively flat portion of the zygomorphic corolla of a ray floret, terminating in 0--4 teeth or lobes; in Asteraceae (Compositae).","STRUCTURE",
"#","N","laminae","structure",,"The distal, relatively flat portion of the zygomorphic corolla of a ray floret, terminating in 0--4 teeth or lobes; in Asteraceae (Compositae).","STRUCTURE",
"#","A","laminar","insertion",,"Upon or otherwise directly associated with the lamina (blade) of a foliaceous structure.","position","q"
"1483","A","laminar","position",,"Upon or otherwise directly associated with the lamina (blade) of a foliaceous structure.","position","q"
"#","A","laminar","shape",,"Relatively very thin with parallel opposite broad faces, the whole plane or variously curved.  Structures to which this term, along with any other three-dimensional ones, is applicable are often also described as though only two-dimensional, using terms t","position","q"
"1485","A","laminate","architecture","foliaceous structure","Having an expanded, more or less planate, distal portion (lamina or blade).","architecture",
"1486","A","lanate","pubescence",,"Bearing relatively long, moderately stout, intertwined, somewhat matted, capillate trichomes.  See also lanulose.","pubescence",
"1488","A","lancehead-shaped","shape",,"Considerably longer than broad, compressed or not, broadest near the base and somewhat concavely attenuate to the apex, the attenuation in all median longitudinal planes or else largely confined to one, depending upon the extent of compression, if any.  S","shape",
"1489","A","lanceolate","shape",,"Elongate, moderately narrow, broadest just above the base and gradually attenuate toward the apex, the sides more or less straight; like the outline of the broad lateral face of a lance head.  See also oblanceolate.","shape",
"1490","A","lanceoloid","shape",,"Considerably longer than broad, compressed or not, broadest near the base and somewhat concavely attenuate to the apex, the attenuation in all median longitudinal planes or else largely confined to one, depending upon the extent of compression, if any.  S","shape",
"1491","A","lanciform","shape",,"Considerably longer than broad, compressed or not, broadest near the base and somewhat concavely attenuate to the apex, the attenuation in all median longitudinal planes or else largely confined to one, depending upon the extent of compression, if any.  S","shape",
"1492","A","lanuginose","pubescence",,"Bearing relatively long and fine, intertwined, somewhat matted, capillate trichomes.","pubescence",
"1493","A","lanulose","pubescence",,"Finely lanate.","pubescence",
"1494","A","late-maturing","maturation","structure","Maturing late in the growing season, or late relative to the developmental progress of its context.","maturation",
"#","A","lateral","insertion",,"To, toward, at, or upon a side, not apical or basal.","position",
"1496","A","lateral","position",,"To, toward, at, or upon a side, not apical or basal.","position",
"1497","N","lateral_vein","structure",,"A longitudinal primary vein (costa, rib) that runs to one side of the midline, or a secondary vein that runs toward the lateral margin.  See also tertiary vein, veinlet.","STRUCTURE",
"1498","N","latex","SUBSTANCE",,"A moderately viscous and sticky exudate, often milky, sometimes otherwise colored or clear.  Overlaps conceptually with gum.","SUBSTANCE",
"1499","N","latices","SUBSTANCE",,"A moderately viscous and sticky exudate, often milky, sometimes otherwise colored or clear.  Overlaps conceptually with gum.","SUBSTANCE",
"1500","N","latexes","SUBSTANCE",,"A moderately viscous and sticky exudate, often milky, sometimes otherwise colored or clear.  Overlaps conceptually with gum.","SUBSTANCE",
"1501","A","laticiferous","exudation",,"Producing and exuding latex.","exudation",
"1502","A","latrorse","dehiscence","anther","Opening laterally, on the tangential sides.  See also extrorse, introrse.","dehiscence",
"1503","A","latticed","architecture","foliaceous structure","Having portions of the blade naturally devoid of any but vascular tissue, which forms an open lattice in those areas.","architecture",
"1504","A","lax","architecture",,"Having equivalent constituent parts disposed distant from one another.","shape",
"1505","N","leaf","structure",,"A principal, vegetative shoot organ borne laterally from a stem node; its vascular tissues, if any, continuous with those of the stem; undergoing no significant secondary growth; usually more or less bilaterally symmetrical; comprising a distal, usually l","STRUCTURE",
"1505","N","leaf-blades","structure",,"leaf lamina","STRUCTURE",
"1506","N","leaves","structure",,"A principal, vegetative shoot organ borne laterally from a stem node; its vascular tissues, if any, continuous with those of the stem; undergoing no significant secondary growth; usually more or less bilaterally symmetrical; comprising a distal, usually l","STRUCTURE",
"1509","N","leaf_scar","FEATURE",,"A scar on a twig or stem due to abscission of a megaphyll; having an outline like that of a transverse section through the base of the petiole, sheath, or blade that was inserted there.","FEATURE",
"1510","A","leaf-bearing","architecture","plant, axis","Bearing leaves.","architecture",
"1511","A","leaf-like","architecture","structure","Resembling a leaf in shape, texture and color.","architecture",
"#","A","leaf-opposed","insertion",,"Nodal and directly opposite the leaf.","position","q"
"1513","A","leaf-opposed","position",,"Nodal and directly opposite the leaf.","position","q"
"1514","A","leafless","architecture","plant, axis","Not bearing leaves.","architecture",
"1515","N","leaflet","structure",,"One of the one or more distinct, leaf-like, first- or higher-order divisions of a compound leaf blade; stalked (petiolulate) or sessile; borne upon a rachis or rachilla.","STRUCTURE",
"1516","A","_leafleted","architecture","foliaceous structure","Compound with one order of the number of leaflets indicated by the prefix, arranged either pinnately or palmately; as in five-leafleted.  See also conjugate, one-leafleted (single-leafleted, unifoliolate), unijugate.","architecture",
"1517","A","leathery","texture",,"Moderately thick, tough, and very pliable.","texture",
"1518","A","_leaved","architecture","plant, axis","Having (only) the number of leaves indicated by the prefix; as in two-leaved.","architecture",
"1519","A","leftward","orientation",,"Directed to the left, relative to the direction of growth along an explicit or implicit axis of reference.  See also rightward (dextrorse).","orientation",
"1520","N","legume","structure","fruit","Dry, septicidal, one-loculed and derived from a single, superior, simple ovary; dehiscing along two sutures, one abaxial, one adaxial; in Fabaceae (Leguminosae).  See also loment.","nominative",
"1521","N","lemma","structure",,"The proximal bract of the (usually) two that immediately subtend the flower in a grass (Poaceae) floret; the other is the palea.","STRUCTURE",
"1522","N","lemmata","structure",,"The proximal bract of the (usually) two that immediately subtend the flower in a grass (Poaceae) floret; the other is the palea.","STRUCTURE",
"1523","N","lemmas","structure",,"The proximal bract of the (usually) two that immediately subtend the flower in a grass (Poaceae) floret; the other is the palea.","STRUCTURE",
